"Twitter ID","Tamanho da Influência (números mais altos=mais seguidores)","Posição Ideológica (número mais alto = mais à direita)","Semelhança entre seguidores (números próximos=semelhança)"
"GuilhermeBoulos","11.75","117.02835920530549","292.62654345528114"
"zehdeabreu","10.5","105.04777847764855","108.08359802934349"
"jairmearrependi","8.5","56.91163670368201","276.8571281995872"
"davidmirandario","8.5","21.829340000464637","133.00027366321189"
"malvados","8.5","119.46394783862199","152.46851188439894"
"LaerteCoutinho1","8.5","40.75894896932368","124.12254767801296"
"blogdosakamoto","8.25","182.93718739854253","165.7135738772856"
"anttrindade","8.25","149.5356825543951","178.49787344703125"
"LeonardoBoff","8.25","99.825126700095","128.26785129871652"
"louieponto","8","5.578280552236147","141.96322668356737"
"psol50","7.75","116.41826908138866","134.6880079551971"
"bolsoregrets","7.75","63.33009631234864","209.97187041391334"
"jandira_feghali","7.75","89.35295037990643","156.26996854462146"
"pablovillaca","7.75","5.8045179304716426","227.8432094603165"
"lelispatricia","7.75","97.80764499132223","302.2910559795511"
"brumelianebrum","7.75","81.7857132036383","130.537654051612"
"taliriapetrone","7.5","-6.960643231682597","199.59821710125743"
"luizguiprado","7.5","61.97904840854076","109.11336041859083"
"cynaramenezes","7.5","18.739239829882184","204.67419591697183"
"Bob_Fernandes","7.25","143.7552554480496","122.37641481884735"
"Savagefiction","7.25","33.97272919653913","211.0727902491021"
"IvanValente","7","55.197499968516816","158.12793319274533"
"lauraabcarvalho","7","72.141372211837","226.4918387291576"
"luizaerundina","7","74.1269186254499","275.27320282262133"
"safbf","7","6.686258522224742","190.21400332092244"
"GeorgMarques","7","117.51314189671888","236.27124532268797"
"FlavioDino","7","124.65429171125035","119.71692292283241"
"JornalismoWando","7","40.3295623158625","282.32837388619987"
"natalyneri","7","-27.71698465917793","225.0002469268379"
"elikatakimoto","7","48.28708376437587","237.89490880769725"
"memescomuna","7","54.23700205127945","259.6028596736062"
"NAOKAHLO","7","-9.278439908812224","252.43073271440414"
"MST_Oficial","6.75","54.09501580319021","135.03001822842967"
"delucca","6.75","21.488853420812536","220.63993981329276"
"hmcpedro","6.75","144.97940022926966","228.47910860735263"
"emirsader","6.75","112.93448934166649","219.23897866415325"
"Cecillia","6.75","70.68056560493999","155.21929082114502"
"assimdisseojoao","6.75","81.94882195940376","103.58059257927519"
"lolaescreva","6.75","-28.38393888951395","196.54631887928048"
"mizanzuk","6.75","41.52245126600559","197.26335387996266"
"Jujuca1987","6.75","83.3153523164162","294.03983442721363"
"ultrajano","6.5","141.6176655284316","97.18566895683298"
"HaddadDebochado","6.5","33.790475394994594","158.8084639755435"
"DeputadoFederal","6.5","106.1043483426928","195.42865460832093"
"nadanovonofront","6.5","68.64141702700257","289.4858560603408"
"meteoro_br","6.5","57.715630831600954","173.04085703689387"
"demori","6.5","108.77490997071993","172.5921047658226"
"minc_rj","6.25","142.34628788680524","214.05270099712618"
"samiabomfim","6.25","19.044785061717523","255.16040126587882"
"patriciapillar","6.25","136.19626707455723","298.1592180088376"
"MottaTarcisio","6.25","32.51001329549362","184.18890182517777"
"marciatiburi","6.25","104.9122898309534","145.28162748849772"
"GuajajaraSonia","6.25","42.54407189877248","223.93683920449928"
"amandafaudi","6.25","132.3224478407907","132.56506426970992"
"uneoficial","6","123.11559133002615","104.7508789937998"
"palmeriodoria","6","46.02521162310313","180.62059072071204"
"claraaverbuck","6","67.58694881817296","140.94820275784295"
"pauloteixeira13","6","117.84778093133842","192.94891528127624"
"rvianna","6","138.97203846933397","251.04803564579996"
"aeciodepapelao","6","67.6424876650454","253.28362963251308"
"exuliane","6","95.37506473134233","170.40701304125926"
"stanleyburburin","6","5.029194339255301","256.5940229915501"
"BlogdoMiro","6","88.83342754615403","116.65606594372605"
"depretas","6","3.352039083012496","157.77754096780976"
"CUT_Brasil","6","98.29967168454837","286.786457998211"
"PTnaCamara","5.75","104.34699734643013","159.13725291880263"
"henrybugalho","5.75","75.09429343879094","116.79755568033042"
"FministaCansada","5.75","-12.839796118796185","175.9329457592571"
"RitaLisauskas","5.75","134.44902236669822","146.84415832677522"
"jovensreacinhas","5.75","9.948353767986578","243.55776863098725"
"CheZeGuevara","5.75","157.17962102052286","128.74143055677806"
"mtst","5.75","21.662170571150753","165.61257910817363"
"PTnoSenado","5.75","135.75276820044394","110.16872122015127"
"rehventura","5.75","16.09925724786382","153.5448279361989"
"manubarem","5.75","140.06614854619696","284.8346184848672"
"anarcobs","5.75","30.42200311304101","265.5646247976091"
"ptnacional","5.75","106.89934909011687","262.8776361856253"
"anacronices","5.75","-21.880641995166897","166.12314955561862"
"MiguelNicolelis","5.75","169.1160268791238","245.75190558004874"
"carapanarana","5.5","36.41448878658451","139.24055099666148"
"millylacombe","5.5","129.15555764610144","277.9356788160946"
"Debora_D_Diniz","5.5","91.95407128222541","141.46619026330723"
"renato_rovai","5.5","46.64109633132713","147.16876101891728"
"aureacarolinax","5.5","-8.814415816815933","163.38877548748962"
"_pinheira","5.5","44.491937377849595","167.61181991502005"
"NPTO","5.5","145.90046567586927","151.71056984340183"
"spartakusvlog","5.5","-4.24537131146711","238.8290963965763"
"PatoCorporation","5.25","-25.270579233561342","179.3042577787583"
"czmartins","5.25","109.78915217916632","275.39707229376523"
"hilde_angel","5.25","40.6936667063541","257.4919372187796"
"mariomagalhaes_","5.25","128.8363010480987","243.29394888350453"
"mariellefranco","5.25","26.005911916131907","243.7431123226295"
"delarabru","5.25","70.64796925056972","168.77772642159889"
"erikakokay","5.25","67.08306986980094","239.31536570062153"
"pirescarol","5.25","85.70448511620027","227.24000529289455"
"Glauber_Braga","5.25","82.56837548776393","169.103552357872"
"pmoreiraleite","5.25","91.59925000334171","260.3568228256599"
"MarcioPochmann","5","86.42132114510177","280.9127113319295"
"tatikmd","5","18.322057431020998","234.36948341538206"
"Haddad_Femando","5","-37.02576341217517","213.1117849444008"
"turquim5","5","43.77237463831983","268.941585333284"
"calulabarros","5","20.06757902527618","189.19155124695587"
