"Bairro","preco","Data","Dormitorios"
"ACLIMAÇÃO","8664 ",2018-01-01,"1"
"ALTO DA BOA VISTA","10175 ",2018-01-01,"1"
"BARRA FUNDA","9209 ",2018-01-01,"1"
"BELA VISTA","8466 ",2018-01-01,"1"
"BELÉM","5909 ",2018-01-01,"1"
"BRÁS","6662 ",2018-01-01,"1"
"BROOKLIN PAULISTA","11786 ",2018-01-01,"1"
"BUTANTÃ","7034 ",2018-01-01,"1"
"CAMPO BELO","10945 ",2018-01-01,"1"
"CAMPO GRANDE",NA,2018-01-01,"1"
"CAMPO LIMPO","4768 ",2018-01-01,"1"
"CANGAÍBA","4944 ",2018-01-01,"1"
"CASA VERDE","6421 ",2018-01-01,"1"
"CENTRO","6921 ",2018-01-01,"1"
"CHÁCARA KLABIN","11117 ",2018-01-01,"1"
"CONSOLAÇÃO","10534 ",2018-01-01,"1"
"FREGUESIA DO Ó",NA,2018-01-01,"1"
"HIGIENÓPOLIS","9865 ",2018-01-01,"1"
"INTERLAGOS","6258 ",2018-01-01,"1"
"IPIRANGA","8027 ",2018-01-01,"1"
"ITAIM BIBI","14542 ",2018-01-01,"1"
"ITAIM PAULISTA",NA,2018-01-01,"1"
"ITAQUERA","4775 ",2018-01-01,"1"
"JABAQUARA","7823 ",2018-01-01,"1"
"JAGUARÉ","6441 ",2018-01-01,"1"
"JARDIM AMÉRICA","13125 ",2018-01-01,"1"
"JARDIM MARAJOARA","6628 ",2018-01-01,"1"
"JARDIM PAULISTA","12760 ",2018-01-01,"1"
"JARDIM SAÚDE",NA,2018-01-01,"1"
"JARDINS","13099 ",2018-01-01,"1"
"LAPA",NA,2018-01-01,"1"
"LIMÃO","6686 ",2018-01-01,"1"
"MOEMA","11149 ",2018-01-01,"1"
"MOOCA","6362 ",2018-01-01,"1"
"MORUMBI","7128 ",2018-01-01,"1"
"PANAMBY","7419 ",2018-01-01,"1"
"PARAÍSO","11400 ",2018-01-01,"1"
"PENHA","5618 ",2018-01-01,"1"
"PERDIZES","11145 ",2018-01-01,"1"
"PINHEIROS","12914 ",2018-01-01,"1"
"PIRITUBA","5520 ",2018-01-01,"1"
"POMPÉIA","10998 ",2018-01-01,"1"
"REAL PARQUE","6978 ",2018-01-01,"1"
"SACOMÃ","5846 ",2018-01-01,"1"
"SANTA CECÍLIA","7785 ",2018-01-01,"1"
"SANTANA","8042 ",2018-01-01,"1"
"SÃO MATEUS","5102 ",2018-01-01,"1"
"SÃO MIGUEL PAULISTA",NA,2018-01-01,"1"
"SAPOPEMBA",NA,2018-01-01,"1"
"SAÚDE","9740 ",2018-01-01,"1"
"TATUAPÉ","8586 ",2018-01-01,"1"
"TUCURUVI","7210 ",2018-01-01,"1"
"VILA ANDRADE","7000 ",2018-01-01,"1"
"VILA CARRÃO","6280 ",2018-01-01,"1"
"VILA CLEMENTINO","8892 ",2018-01-01,"1"
"VILA FORMOSA","7422 ",2018-01-01,"1"
"VILA LEOPOLDINA","8773 ",2018-01-01,"1"
"VILA MARIA","7347 ",2018-01-01,"1"
"VILA MARIANA","10696 ",2018-01-01,"1"
"VILA MASCOTE","8193 ",2018-01-01,"1"
"VILA NOVA CONCEIÇÃO","15236 ",2018-01-01,"1"
